1218596400, 38 , 021 , 060 , 1 ,
1562986800, 02 , 002 , 010 , 1 ,
1581390000, 02 , 004 , 010 , 2 ,
1582167600, 02 , 004 , 010 , 1 ,
1582167600, 06 , 056 , 010 , 1 ,
1582599600, 86 , 049 , 110 , 1 ,
1582772400, 02 , 004 , 010 , 4 ,
1582772400, 86 , 049 , 110 , 1 ,
1582858800, 02 , 004 , 010 , 10 ,
1583118000, 02 , 004 , 010 , 5 ,
1583204400, 02 , 004 , 010 , 8 , 1 
1583290800, 02 , 004 , 010 , 6 ,
1583377200, 02 , 004 , 010 , 7 ,
1583463600, 02 , 004 , 010 , 11 , 7 
1583550000, 02 , 004 , 010 , 9 , 1 
1583636400, 02 , 004 , 010 , 28 , 3 
1583636400, 86 , 049 , 110 , 1 ,
1583722800, 02 , 004 , 010 , 13 , 7 
1583809200, 02 , 004 , 010 , 28 , 2 
1583809200, 14 , 014 , 010 , 1 ,
1583895600, 02 , 004 , 010 , 34 , 5 
1583895600, 82 , 084 , 270 , 1 ,
1583982000, 02 , 004 , 010 , 45 , 12 
1583982000, 02 , 002 , 010 , 1 ,
1584068400, 02 , 004 , 010 , 86 , 7 
1584154800, 02 , 004 , 010 , 47 , 7 
1584154800, 02 , 002 , 010 , 1 ,
1584154800, 02 , 001 , 010 , 1 ,
1584241200, 02 , 004 , 010 , 80 , 11 
1584327600, 02 , 004 , 010 , 103 , 12 
1584327600, 02 , 002 , 010 , 2 ,
1584327600, 06 , 568 , 010 , 1 ,
1584414000, 02 , 004 , 010 , 123 , 19 
1584414000, 06 , 056 , 010 , 1 ,
1584414000, 02 , 002 , 010 , 4 , 1 
1584500400, 02 , 002 , 010 , 1 ,
1584500400, 82 , 084 , 270 , 1 ,
1584500400, 02 , 001 , 010 , 2 , 2 
1584500400, 02 , 004 , 010 , 199 , 35 
1584586800, 02 , 002 , 010 , 4 , 2 
1584586800, 02 , 001 , 010 , 2 ,
1584586800, 06 , 056 , 010 , 4 ,
1584586800, 58 , 035 , 070 , 1 , 1 
1584586800, 06 , 568 , 010 , 1 ,
1584586800, 02 , 004 , 010 , 137 , 25 
1584673200, 82 , 084 , 270 , 3 ,
1584673200, 58 , 035 , 070 , 4 , 2 
1584673200, 02 , 002 , 010 , 7 , 1 
1584673200, 02 , 004 , 010 , 1 , 1 
1584673200, 06 , 056 , 010 , 1 , 1 
1584673200, 02 , 004 , 010 , 207 , 29 
1584673200, 82 , 042 , 290 , 1 ,
1584673200, 06 , 056 , 010 , 4 ,
1584673200, 02 , 001 , 010 , 3 ,
1584759600, 02 , 002 , 010 , 3 ,
1584759600, 14 , 140 , 360 , 1 , 1 
1584759600, 06 , 638 , 040 , 1 , 1 
1584759600, 82 , 042 , 290 , 1 ,
1584759600, 14 , 014 , 010 , 24 , 3 
1584759600, 02 , 004 , 010 , 6 , 1 
1584759600, 06 , 056 , 010 , 2 ,
1584759600, 02 , 004 , 010 , 275 , 69 
1584759600, 82 , 084 , 270 , 1 ,
1584759600, 02 , 001 , 010 , 1 ,
1584759600, 58 , 035 , 070 , 7 , 2 
1584759600, 02 , 007 , 010 , 1 ,
1584846000, 58 , 035 , 070 , 10 , 2 
1584846000, 06 , 568 , 010 , 1 , 1 
1584846000, 02 , 004 , 010 , 166 , 45 
1584846000, 02 , 004 , 010 , 1 ,
1584846000, 14 , 014 , 010 , 22 , 5 
1584846000, 02 , 002 , 010 , 3 , 2 
1584846000, 06 , 861 , 010 , 3 , 2 
1584846000, 02 , 004 , 010 , 9 , 2 
1584846000, 82 , 084 , 270 , 30 , 12 
1584846000, 02 , 001 , 010 , 1 ,
1584932400, 02 , 004 , 010 , 4 , 2 
1584932400, 06 , 638 , 040 , 4 , 3 
